,source,target,time,type
162,6629,207,2015-12-16 15:53:43,a2q
163,833846,428,2015-12-16 12:41:37,a2q
164,267,400589,2015-12-16 00:19:41,a2q
165,1338,15329,2015-12-15 23:47:38,a2q
166,158285,404,2015-12-15 19:09:52,a2q
167,45382,4639,2015-12-15 17:06:50,a2q
168,1075,1075,2015-12-15 05:01:15,a2q
169,200936,549,2015-12-15 02:53:30,a2q
170,13,3363254,2015-12-14 23:05:48,a2q
171,6760,1463,2015-12-14 21:59:59,a2q
172,543814,203,2015-12-14 20:31:47,a2q
173,267,842200,2015-12-14 14:32:21,a2q
174,3981,7850,2015-12-13 09:48:44,a2q
175,7648,7648,2015-12-12 05:36:15,a2q
176,730,730,2015-12-12 04:26:31,a2q
177,2441,70147,2015-12-12 00:12:52,a2q
178,496289,25,2015-12-11 22:57:01,a2q
179,476,4534,2015-12-11 22:54:22,a2q
180,45145,727,2015-12-11 19:21:02,a2q
181,9204,9204,2015-12-11 15:01:21,a2q
182,1892,1892,2015-12-11 07:15:13,a2q
183,378509,116,2015-12-11 06:17:11,a2q
184,11398,3109,2015-12-11 03:35:27,a2q
185,922290,730,2015-12-11 01:10:27,a2q
186,5664815,64,2015-12-10 22:53:04,a2q
187,771073,680,2015-12-10 17:17:53,a2q
188,6309,14860,2015-12-10 13:41:54,a2q
189,256196,797,2015-12-10 08:29:32,a2q
190,37643,4541,2015-12-10 07:03:56,a2q
191,8345,8345,2015-12-10 03:37:45,a2q
192,6264,6264,2015-12-09 19:46:09,a2q
193,476,925196,2015-12-09 18:41:41,a2q
194,955422,476,2015-12-09 17:51:26,a2q
195,13,5657107,2015-12-09 15:13:59,a2q
196,677,104985,2015-12-09 11:11:32,a2q
197,64750,194,2015-12-09 09:39:52,a2q
198,564709,338,2015-12-09 03:15:14,a2q
199,98422,1336,2015-12-09 01:51:23,a2q
200,5822,5822,2015-12-09 00:11:30,a2q
201,74694,4249,2015-12-08 19:02:31,a2q
202,279,605331,2015-12-08 06:59:21,a2q
203,4218,4218,2015-12-08 00:49:45,a2q
204,4572,536,2015-12-08 00:16:32,a2q
205,749288,184,2015-12-07 20:38:16,a2q
206,2692,2692,2015-12-07 19:32:14,a2q
207,4950,4950,2015-12-07 18:45:32,a2q
208,92701,3146,2015-12-07 11:41:06,a2q
209,41211,2798,2015-12-07 08:15:25,a2q
210,251231,672,2015-12-06 11:54:29,a2q
211,6309,82854,2015-12-06 03:49:34,a2q
212,6722,68571,2015-12-05 08:44:28,a2q
213,40521,9382,2015-12-05 08:08:25,a2q
214,67,294863,2015-12-05 06:33:14,a2q
215,881798,191,2015-12-05 06:32:35,a2q
216,75525,7850,2015-12-05 04:56:24,a2q
217,134536,192,2015-12-05 02:36:05,a2q
218,1228,1228,2015-12-05 02:32:28,a2q
219,80136,3571,2015-12-05 02:30:31,a2q
220,350372,520,2015-12-05 01:12:23,a2q
221,6068,6068,2015-12-05 01:08:44,a2q
222,116,116,2015-12-05 00:28:57,a2q
223,6819,23562,2015-12-05 00:23:58,a2q
224,9303,9303,2015-12-04 22:51:32,a2q
225,6722,68571,2015-12-04 20:10:37,a2q
226,476,513652,2015-12-04 18:56:43,a2q
227,116,116,2015-12-04 15:57:30,a2q
228,6884,99876,2015-12-04 04:49:45,a2q
229,7453,6704,2015-12-04 03:55:30,a2q
230,2825358,37,2015-12-04 02:32:56,a2q
231,8426,8426,2015-12-04 00:16:57,a2q
232,1169,1169,2015-12-03 20:58:07,a2q
233,5521531,29,2015-12-03 20:15:29,a2q
234,4092,44894,2015-12-03 19:36:36,a2q
235,57591,9922,2015-12-03 18:36:10,a2q
236,920,197229,2015-12-03 16:11:54,a2q
237,6560,92080,2015-12-03 03:52:11,a2q
238,8368,51695,2015-12-02 23:21:53,a2q
239,5346,15721,2015-12-02 18:22:35,a2q
240,6309,1630,2015-12-02 13:45:46,a2q
241,293099,91,2015-12-02 07:43:54,a2q
242,698,698,2015-12-02 06:41:18,a2q
243,72176,5017,2015-12-02 06:37:04,a2q
244,4494,87222,2015-12-02 06:33:43,a2q
245,90475,9382,2015-12-02 05:10:00,a2q
246,7355,7355,2015-12-02 01:04:07,a2q
247,13,4770328,2015-12-01 22:19:00,a2q
248,1080738,56,2015-12-01 22:04:05,a2q
249,821786,755,2015-12-01 20:06:24,a2q
250,476,867848,2015-12-01 20:01:49,a2q
251,699,699,2015-12-01 14:20:17,a2q
252,574479,116,2015-12-01 06:05:17,a2q
253,5389936,20,2015-12-01 05:19:17,a2q
254,68939,116,2015-12-01 02:39:31,a2q
255,55075,572,2015-12-01 02:21:13,a2q
256,7345,85514,2015-11-30 21:47:52,a2q
257,2122,2122,2015-11-30 18:02:33,a2q
258,99834,1304,2015-11-30 16:23:46,a2q
259,94923,4906,2015-11-30 15:55:55,a2q
260,670521,825,2015-11-30 07:04:57,a2q
261,4189,4189,2015-11-30 01:23:05,a2q
262,13,614588,2015-11-29 23:30:06,a2q
263,80434,6486,2015-11-29 20:39:41,a2q
264,25216,8741,2015-11-29 11:33:26,a2q
265,4279,20670,2015-11-29 00:03:17,a2q
266,4279,82733,2015-11-28 19:31:31,a2q
267,1278,9642,2015-11-28 06:51:20,a2q
268,76289,4037,2015-11-28 00:10:12,a2q
269,5043,37725,2015-11-27 23:32:12,a2q
270,13,2297290,2015-11-27 03:10:33,a2q
271,13,4134800,2015-11-27 02:51:11,a2q
272,2214693,46,2015-11-26 21:11:50,a2q
273,13,5237018,2015-11-26 20:45:30,a2q
274,5585864,25,2015-11-26 18:54:15,a2q
275,6309,25991,2015-11-26 13:34:13,a2q
276,13,3187995,2015-11-26 12:17:23,a2q
277,234,234,2015-11-26 08:47:08,a2q
278,2444665,39,2015-11-26 08:14:46,a2q
279,7285,7285,2015-11-26 05:49:00,a2q
280,91299,685,2015-11-26 03:45:42,a2q
281,58768,9266,2015-11-26 01:36:24,a2q
282,1028733,85,2015-11-26 01:33:27,a2q
283,4023,4023,2015-11-25 23:45:15,a2q
284,155412,230,2015-11-25 20:50:02,a2q
285,1755,28557,2015-11-25 20:38:18,a2q
286,91933,5849,2015-11-25 15:48:55,a2q
287,5126,5126,2015-11-25 15:48:14,a2q
288,1142,17766,2015-11-25 08:20:14,a2q
289,13,776723,2015-11-25 06:24:53,a2q
290,5601618,63,2015-11-25 05:27:26,a2q
291,5922,53185,2015-11-25 05:10:29,a2q
292,432,537900,2015-11-25 02:13:14,a2q
293,40347,8384,2015-11-24 21:57:50,a2q
294,42809,6042,2015-11-24 21:46:54,a2q
295,253056,755,2015-11-24 19:01:38,a2q
296,22012,62,2015-11-24 18:11:28,a2q
297,116,116,2015-11-24 11:25:24,a2q
298,85785,2104,2015-11-24 07:17:55,a2q
299,8710,84952,2015-11-24 05:24:13,a2q
300,99256,6160,2015-11-24 04:16:01,a2q
301,21539,1278,2015-11-24 03:13:44,a2q
302,6819,20047,2015-11-24 01:44:22,a2q
303,5596179,64,2015-11-24 00:56:09,a2q
304,490291,999,2015-11-23 21:28:50,a2q
305,482926,905,2015-11-23 17:20:18,a2q
306,5561176,50,2015-11-23 15:54:54,a2q
307,62,1309179,2015-11-23 14:49:04,a2q
308,13,5491618,2015-11-23 06:45:26,a2q
309,1831,71904,2015-11-23 06:24:40,a2q
310,13,6742,2015-11-22 23:48:59,a2q
311,1970590,50,2015-11-22 21:30:35,a2q
312,548829,417,2015-11-22 19:31:57,a2q
313,13,3440266,2015-11-22 11:41:12,a2q
314,13,3171597,2015-11-22 11:05:31,a2q
315,8946,77779,2015-11-22 07:35:57,a2q
316,2760983,83,2015-11-22 01:50:56,a2q
317,604048,49,2015-11-21 19:57:59,a2q
318,906,218651,2015-11-21 16:54:49,a2q
319,1249,1249,2015-11-21 08:54:27,a2q
320,120783,33,2015-11-21 06:26:10,a2q
321,5720,8368,2015-11-21 05:46:28,a2q
322,5454,5454,2015-11-21 05:44:26,a2q
323,57611,2547,2015-11-21 05:27:08,a2q
324,303,303,2015-11-21 01:55:45,a2q
325,476,426266,2015-11-20 23:55:53,a2q
326,4376,4376,2015-11-20 23:34:00,a2q
327,10176,1034,2015-11-20 22:17:49,a2q
328,3189,3189,2015-11-20 19:37:36,a2q
329,792456,46,2015-11-20 17:19:21,a2q
330,1431,1431,2015-11-20 13:49:50,a2q
331,4534,4534,2015-11-20 12:19:52,a2q
332,1338,70592,2015-11-20 10:50:01,a2q
333,57611,234,2015-11-20 08:39:37,a2q
334,219187,366,2015-11-20 05:16:16,a2q
335,6160,34644,2015-11-20 03:36:37,a2q
336,2841,2841,2015-11-20 02:21:12,a2q
337,672,150062,2015-11-20 01:59:05,a2q
338,7644,98970,2015-11-20 01:14:31,a2q
339,557047,116,2015-11-20 00:18:37,a2q
340,2470795,44,2015-11-19 23:12:15,a2q
341,4264464,5,2015-11-19 20:40:23,a2q
342,482864,534,2015-11-19 14:41:00,a2q
343,76954,6044,2015-11-19 13:56:19,a2q
344,8078,8078,2015-11-19 13:26:42,a2q
345,5255,5255,2015-11-19 08:34:31,a2q
346,841,208257,2015-11-19 08:06:54,a2q
347,5578945,91,2015-11-19 07:43:53,a2q
348,3603,30674,2015-11-19 06:25:48,a2q
349,320,320,2015-11-19 06:24:20,a2q
350,24975,2104,2015-11-19 04:39:41,a2q
351,285795,630,2015-11-19 02:17:54,a2q
352,65775,4906,2015-11-18 23:38:53,a2q
353,61164,4368,2015-11-18 23:20:40,a2q
354,476,838519,2015-11-18 17:07:39,a2q
355,681830,234,2015-11-18 11:57:57,a2q
356,3085,62076,2015-11-18 04:49:49,a2q
357,966,238948,2015-11-18 03:54:09,a2q
358,1665,1665,2015-11-18 00:14:36,a2q
359,907734,232,2015-11-17 22:42:28,a2q
360,4376,4376,2015-11-17 22:00:09,a2q
361,986,478267,2015-11-17 20:16:24,a2q
362,4376,4376,2015-11-17 20:00:59,a2q
363,377,641600,2015-11-17 17:30:19,a2q
364,13,3187995,2015-11-17 17:06:34,a2q
365,8037,55747,2015-11-17 13:51:41,a2q
366,988445,685,2015-11-17 10:51:24,a2q
367,5987,10396,2015-11-17 08:15:03,a2q
368,61754,9900,2015-11-17 08:07:28,a2q
369,9913,9913,2015-11-17 05:26:52,a2q
370,13,4770328,2015-11-17 04:49:55,a2q
371,2732,2732,2015-11-17 01:07:31,a2q
372,6309,71245,2015-11-16 20:42:03,a2q
373,51,2475096,2015-11-16 19:37:31,a2q
374,8261,63051,2015-11-16 17:51:45,a2q
375,6309,92679,2015-11-16 16:41:01,a2q
376,6309,38765,2015-11-16 15:22:04,a2q
377,116,116,2015-11-16 13:36:32,a2q
378,13,4959893,2015-11-16 13:33:21,a2q
379,6309,4534,2015-11-16 13:28:52,a2q
380,13,1112406,2015-11-16 10:03:35,a2q
381,4279,27641,2015-11-16 09:20:47,a2q
382,517073,82,2015-11-15 18:20:47,a2q
383,3195526,29,2015-11-15 15:10:59,a2q
384,27074,4833,2015-11-14 20:09:35,a2q
385,13,5496458,2015-11-14 15:08:28,a2q
386,39923,9382,2015-11-14 07:16:56,a2q
387,829571,318,2015-11-14 03:11:12,a2q
388,2820,44080,2015-11-14 00:20:40,a2q
389,8047,8047,2015-11-14 00:12:12,a2q
390,24975,8741,2015-11-13 21:49:31,a2q
391,8261,8261,2015-11-13 20:08:01,a2q
392,972813,115,2015-11-13 18:38:09,a2q
393,4574,57428,2015-11-13 17:21:47,a2q
394,6309,11755,2015-11-13 15:24:14,a2q
395,296328,116,2015-11-13 15:17:40,a2q
396,296328,116,2015-11-13 15:14:34,a2q
397,4279,49561,2015-11-13 14:59:21,a2q
398,7329,14894,2015-11-13 05:10:57,a2q
399,657390,91,2015-11-13 03:39:45,a2q
400,13,5442874,2015-11-13 02:24:28,a2q
401,24975,2656,2015-11-13 01:25:00,a2q
402,1738,18174,2015-11-12 23:42:02,a2q
403,6920,18174,2015-11-12 23:25:00,a2q
404,35233,6091,2015-11-12 23:17:53,a2q
405,507,823188,2015-11-12 21:14:09,a2q
406,507,523234,2015-11-12 21:04:37,a2q
407,158285,305,2015-11-12 16:53:11,a2q
408,6309,43035,2015-11-12 15:30:57,a2q
409,13,5446430,2015-11-12 11:46:28,a2q
410,13,1190965,2015-11-12 11:23:46,a2q
411,26167,4525,2015-11-12 11:19:46,a2q
412,1600,7872,2015-11-12 07:03:17,a2q
413,742745,686,2015-11-12 05:02:38,a2q
414,5950,66593,2015-11-12 03:00:55,a2q
415,470,470,2015-11-12 02:25:13,a2q
416,8116,57591,2015-11-12 01:31:28,a2q
417,213555,245,2015-11-11 15:09:45,a2q
418,10762,1190,2015-11-11 13:00:01,a2q
419,4006364,91,2015-11-11 08:46:44,a2q
420,4134099,85,2015-11-11 06:27:06,a2q
421,351330,623,2015-11-11 02:04:29,a2q
422,9435,9435,2015-11-11 00:44:00,a2q
423,497648,199,2015-11-10 23:43:32,a2q
424,9987,9987,2015-11-10 22:57:39,a2q
425,730,730,2015-11-10 21:27:11,a2q
426,1033686,91,2015-11-10 19:45:40,a2q
427,276052,625,2015-11-10 18:27:00,a2q
428,371,316760,2015-11-10 05:14:11,a2q
429,9539,70634,2015-11-10 00:58:21,a2q
430,33732,4997,2015-11-10 00:44:02,a2q
431,267,351435,2015-11-09 18:47:23,a2q
432,13,5458140,2015-11-08 11:09:58,a2q
433,13,1394608,2015-11-08 10:53:42,a2q
434,67,42564,2015-11-08 04:08:16,a2q
435,73226,1,2015-11-07 22:57:20,a2q
436,35,1508372,2015-11-07 22:53:35,a2q
437,2531161,45,2015-11-07 19:14:47,a2q
438,6309,30674,2015-11-07 10:32:54,a2q
439,266304,116,2015-11-07 01:49:06,a2q
440,7648,7648,2015-11-07 00:48:33,a2q
441,985906,755,2015-11-06 23:51:50,a2q
442,6839,6839,2015-11-06 23:31:53,a2q
443,6415,2138,2015-11-06 22:09:37,a2q
444,29,1074516,2015-11-06 22:00:29,a2q
445,4510,7345,2015-11-06 21:46:50,a2q
446,917118,716,2015-11-06 21:45:38,a2q
447,267,959663,2015-11-06 21:12:47,a2q
448,3926,3926,2015-11-06 20:54:55,a2q
449,476,962607,2015-11-06 17:32:07,a2q
450,13,512225,2015-11-06 16:53:36,a2q
451,8761,8761,2015-11-06 13:12:17,a2q
452,1665,1665,2015-11-06 09:33:31,a2q
453,541420,406,2015-11-06 03:37:07,a2q
454,1649274,91,2015-11-05 22:36:44,a2q
455,476,134824,2015-11-05 22:19:41,a2q
456,1904,1904,2015-11-05 17:51:29,a2q
457,267,762886,2015-11-05 17:37:56,a2q
458,4534,4534,2015-11-05 17:15:28,a2q
459,2362,2362,2015-11-05 16:52:41,a2q
460,432,985179,2015-11-05 13:17:11,a2q
461,1129025,25,2015-11-05 13:11:37,a2q
462,5742,5742,2015-11-05 12:09:59,a2q
463,231742,582,2015-11-05 09:16:03,a2q
464,3273,3273,2015-11-05 06:40:02,a2q
465,7267,64895,2015-11-05 03:12:09,a2q
466,368330,25,2015-11-04 23:04:26,a2q
467,52626,7140,2015-11-04 22:53:02,a2q
468,7585,87370,2015-11-04 21:09:40,a2q
469,476,352260,2015-11-04 19:21:53,a2q
470,8747,51167,2015-11-04 08:28:16,a2q
471,4279,4766,2015-11-04 05:39:08,a2q
472,430360,131,2015-11-04 02:47:10,a2q
473,1429387,79,2015-11-03 21:02:56,a2q
474,414,64334,2015-11-03 19:28:56,a2q
475,5453808,72,2015-11-03 15:46:49,a2q
476,3146,3146,2015-11-03 12:02:14,a2q
477,5921,5921,2015-11-03 06:07:46,a2q
478,8368,75836,2015-11-03 05:54:15,a2q
479,2147,4167,2015-11-03 05:23:07,a2q
480,85785,2104,2015-11-03 04:23:33,a2q
481,9913,9913,2015-11-02 23:05:47,a2q
482,672,965722,2015-11-02 21:20:01,a2q
483,5514429,83,2015-11-02 12:36:38,a2q
484,823869,893,2015-11-02 10:57:32,a2q
485,6309,10608,2015-11-01 23:53:05,a2q
486,6068,6068,2015-11-01 18:44:57,a2q
487,351305,307,2015-11-01 18:28:45,a2q
488,13198,8741,2015-11-01 13:59:01,a2q
489,42223,9435,2015-11-01 05:24:14,a2q
490,8331,41241,2015-10-31 04:41:38,a2q
491,95195,672,2015-10-31 02:41:55,a2q
492,29,157503,2015-10-31 02:02:44,a2q
493,4572,12897,2015-10-31 00:16:49,a2q
494,22656,7512,2015-10-30 21:14:47,a2q
495,462123,86,2015-10-30 11:24:09,a2q
496,13,3610137,2015-10-30 10:11:21,a2q
497,9191,9191,2015-10-30 03:30:52,a2q
498,893,581837,2015-10-30 03:12:06,a2q
499,470,470,2015-10-30 02:12:41,a2q
500,9825,9825,2015-10-30 02:07:36,a2q
501,14528,9990,2015-10-30 01:12:40,a2q
502,13,5339728,2015-10-29 23:22:19,a2q
503,9117,9117,2015-10-29 23:03:26,a2q
504,45375,5022,2015-10-29 21:07:39,a2q
505,11461,5791,2015-10-29 19:45:49,a2q
506,13,5500724,2015-10-29 14:30:11,a2q
507,754404,358,2015-10-29 11:27:32,a2q
508,7432,12098,2015-10-29 06:46:03,a2q
509,7491,89771,2015-10-29 06:19:14,a2q
510,9205,9205,2015-10-29 04:43:36,a2q
511,6819,34548,2015-10-29 03:26:09,a2q
512,4794,84131,2015-10-29 01:12:01,a2q
513,6884,25645,2015-10-29 00:00:13,a2q
514,3446,3446,2015-10-28 23:54:44,a2q
515,40064,2797,2015-10-28 20:14:17,a2q
516,5728,46926,2015-10-28 11:12:49,a2q
517,492,977472,2015-10-28 10:37:38,a2q
518,492,494219,2015-10-28 10:30:32,a2q
519,67,3113490,2015-10-28 09:28:32,a2q
520,320,400589,2015-10-28 07:11:13,a2q
521,9648,9648,2015-10-28 05:00:59,a2q
522,5494980,82,2015-10-28 01:54:02,a2q
523,9903,9903,2015-10-27 23:12:47,a2q
524,56,1701823,2015-10-27 20:03:22,a2q
525,78639,3636,2015-10-27 17:59:23,a2q
526,609,8161,2015-10-27 07:14:32,a2q
527,712649,67,2015-10-27 06:54:41,a2q
528,71522,6278,2015-10-27 06:07:59,a2q
529,9951,9951,2015-10-27 05:06:43,a2q
530,2850,2850,2015-10-27 03:29:27,a2q
531,8426,8426,2015-10-27 01:02:05,a2q
532,6264,6264,2015-10-27 00:31:23,a2q
533,20788,1463,2015-10-27 00:26:58,a2q
534,476,300675,2015-10-26 17:56:45,a2q
535,476,965094,2015-10-26 16:25:00,a2q
536,13,4625877,2015-10-26 15:47:31,a2q
537,1517,1517,2015-10-26 13:46:42,a2q
538,58961,3515,2015-10-25 16:54:15,a2q
539,795068,774,2015-10-25 16:46:46,a2q
540,538458,62,2015-10-25 11:49:58,a2q
541,37643,192,2015-10-25 04:24:11,a2q
542,432,88092,2015-10-25 02:34:29,a2q
543,13,4632627,2015-10-24 13:31:35,a2q
544,577950,314,2015-10-24 04:47:40,a2q
545,11654,9825,2015-10-24 00:22:39,a2q
546,1554,27703,2015-10-24 00:02:09,a2q
547,8678,8678,2015-10-23 22:14:44,a2q
548,155077,383,2015-10-23 17:07:55,a2q
549,45773,3936,2015-10-23 15:34:11,a2q
550,4411,4411,2015-10-23 15:04:13,a2q
551,5542,5542,2015-10-23 14:44:18,a2q
552,6309,2492,2015-10-23 14:04:00,a2q
553,9204,12730,2015-10-23 00:10:11,a2q
554,4572,4572,2015-10-22 23:43:41,a2q
555,6722,6722,2015-10-22 22:52:13,a2q
556,36,478296,2015-10-22 22:43:47,a2q
557,476,721925,2015-10-22 18:14:03,a2q
558,476,135605,2015-10-22 16:34:30,a2q
559,3656,3656,2015-10-22 06:45:50,a2q
560,955076,775,2015-10-22 05:32:20,a2q
561,45375,893,2015-10-22 01:39:18,a2q
562,39430,8479,2015-10-22 00:29:40,a2q
563,8479,8479,2015-10-22 00:12:51,a2q
564,4234,4234,2015-10-21 23:30:09,a2q
565,7841,97040,2015-10-21 23:27:23,a2q
566,5696,34509,2015-10-21 22:48:45,a2q
567,476,288568,2015-10-21 21:18:47,a2q
568,56778,4234,2015-10-21 19:27:19,a2q
569,964243,625,2015-10-21 19:07:06,a2q
570,476,962191,2015-10-21 16:46:26,a2q
571,476,247245,2015-10-21 15:09:47,a2q
572,6309,33080,2015-10-21 12:22:21,a2q
573,13,5310860,2015-10-21 09:31:50,a2q
574,8368,8368,2015-10-21 04:18:26,a2q
575,912829,758,2015-10-21 03:08:27,a2q
576,319,33522,2015-10-21 00:25:27,a2q
577,84507,6722,2015-10-21 00:01:02,a2q
578,7512,7512,2015-10-20 19:10:36,a2q
579,6278,6278,2015-10-20 17:59:04,a2q
580,6910,6910,2015-10-20 15:27:19,a2q
581,664253,350,2015-10-20 14:44:40,a2q
582,50,1543374,2015-10-20 11:30:27,a2q
583,121259,5,2015-10-20 09:33:43,a2q
584,371,608863,2015-10-20 09:16:26,a2q
585,25330,4998,2015-10-20 04:43:59,a2q
586,881798,517,2015-10-20 02:19:49,a2q
587,1737,91208,2015-10-20 01:33:38,a2q
588,7644,81410,2015-10-19 23:45:44,a2q
589,395686,156,2015-10-19 22:44:06,a2q
590,6819,83658,2015-10-19 22:24:53,a2q
591,5742,5742,2015-10-19 15:56:16,a2q
592,2653,2653,2015-10-19 12:15:15,a2q
593,906,8368,2015-10-19 08:59:32,a2q
594,878,459943,2015-10-19 05:21:33,a2q
595,890,123927,2015-10-18 20:27:39,a2q
596,55075,9732,2015-10-18 19:51:47,a2q
597,1103848,62,2015-10-18 19:04:37,a2q
598,6309,4322,2015-10-18 12:17:57,a2q
599,10527,1025,2015-10-18 05:26:10,a2q
600,45375,473,2015-10-17 22:12:13,a2q
601,5457009,51,2015-10-17 19:37:07,a2q
602,85371,9611,2015-10-17 08:42:40,a2q
603,367319,572,2015-10-17 05:15:39,a2q
604,9859,9859,2015-10-17 01:25:35,a2q
605,476,245549,2015-10-16 22:23:07,a2q
606,5178,5178,2015-10-16 22:11:35,a2q
607,2820,5836,2015-10-16 19:37:36,a2q
608,1248,63717,2015-10-16 16:05:54,a2q
609,6760,58129,2015-10-16 14:06:20,a2q
610,6309,87399,2015-10-16 12:53:58,a2q
611,3045,3045,2015-10-16 11:43:34,a2q
612,3340,3340,2015-10-16 08:41:20,a2q
613,13,5334803,2015-10-16 04:32:14,a2q
614,4572,4572,2015-10-16 02:21:14,a2q
615,320,302677,2015-10-15 22:46:38,a2q
616,3820,966,2015-10-15 20:30:49,a2q
617,8741,8741,2015-10-15 18:55:52,a2q
618,476,410991,2015-10-15 18:05:19,a2q
619,3848,852,2015-10-15 14:38:07,a2q
620,492,65087,2015-10-15 09:05:59,a2q
621,4193,4193,2015-10-15 08:56:25,a2q
622,7659,7659,2015-10-15 05:03:59,a2q
623,5987,17493,2015-10-15 03:58:05,a2q
624,5420,5420,2015-10-14 23:48:01,a2q
625,5246,24190,2015-10-14 23:45:01,a2q
626,267,764809,2015-10-14 17:08:46,a2q
627,266143,966,2015-10-14 17:00:50,a2q
628,13,5310860,2015-10-14 14:46:24,a2q
629,3146,3146,2015-10-14 09:06:20,a2q
630,86375,1463,2015-10-14 03:18:29,a2q
631,177710,302,2015-10-14 03:01:38,a2q
632,9204,16673,2015-10-14 00:18:24,a2q
633,2998,2998,2015-10-13 22:09:20,a2q
634,267,701346,2015-10-13 20:51:23,a2q
635,6309,18149,2015-10-13 20:46:08,a2q
636,3189,3189,2015-10-13 19:02:00,a2q
637,267,246568,2015-10-13 13:46:09,a2q
638,6309,38765,2015-10-13 11:59:16,a2q
639,93,1707797,2015-10-13 03:58:15,a2q
640,369142,146,2015-10-12 22:27:00,a2q
641,4707576,1,2015-10-12 20:12:02,a2q
